Symbol,Side,Type,Quantity,Limit price,Stop price,Fill price,Status,Placing time,Closing time,Level ID
CME_MINI:MNQ1!,Sell,Market,4,,,29723,Filled,2026-06-08 09:17:36,2026-06-08 09:17:36,
CME_MINI:MNQ1!,Sell,Market,1,,,29731.5,Filled,2026-06-08 09:16:40,2026-06-08 09:16:40,
CME_MINI:MNQ1!,Sell,Market,1,,,29728,Filled,2026-06-08 09:16:24,2026-06-08 09:16:24,
CME_MINI:MNQ1!,Sell,Market,1,,,29728,Filled,2026-06-08 09:16:03,2026-06-08 09:16:03,
CME_MINI:MNQ1!,Buy,Market,7,,,29725.25,Filled,2026-06-08 09:14:05,2026-06-08 09:14:05,
CME_MINI:MNQ1!,Sell,Stop,4,,29708.5,,Cancelled,2026-06-08 09:14:05,2026-06-08 09:17:36,
CME_MINI:MNQ1!,Sell,Limit,4,29742.25,,,Cancelled,2026-06-08 09:14:05,2026-06-08 09:17:36,
CME_MINI:MNQ1!,Sell,Market,10,,,29726.5,Filled,2026-06-08 09:13:55,2026-06-08 09:13:55,
CME_MINI:MNQ1!,Buy,Market,10,,,29723,Filled,2026-06-08 09:13:41,2026-06-08 09:13:41,
CME_MINI:MNQ1!,Sell,Stop,10,,29712.75,,Cancelled,2026-06-08 09:13:41,2026-06-08 09:13:55,
CME_MINI:MNQ1!,Sell,Limit,10,29733.25,,,Cancelled,2026-06-08 09:13:41,2026-06-08 09:13:55,
CME_MINI:MNQ1!,Sell,Stop,2,,30301.5,,Cancelled,2026-06-04 08:48:03,2026-06-04 08:48:03,
CME_MINI:MNQ1!,Buy,Market,2,,,30314.5,Filled,2026-06-04 08:48:03,2026-06-04 08:48:03,
CME_MINI:MNQ1!,Sell,Limit,2,30331.5,,,Cancelled,2026-06-04 08:48:03,2026-06-04 08:48:03,
CME_MINI:MNQ1!,Buy,Market,2,,,30326.5,Filled,2026-06-04 08:47:36,2026-06-04 08:47:36,
CME_MINI:MNQ1!,Buy,Market,2,,,30324.75,Filled,2026-06-04 08:47:26,2026-06-04 08:47:26,
CME_MINI:MNQ1!,Buy,Market,2,,,30331.5,Filled,2026-06-04 08:47:15,2026-06-04 08:47:15,
CME_MINI:MNQ1!,Sell,Market,2,,,30329,Filled,2026-06-04 08:47:01,2026-06-04 08:47:01,
CME_MINI:MNQ1!,Sell,Market,10,,,30329.25,Filled,2026-06-04 08:46:31,2026-06-04 08:46:31,
CME_MINI:MNQ1!,Buy,Stop,4,,30306.5,,Cancelled,2026-06-04 08:46:31,2026-06-04 08:48:44,
CME_MINI:MNQ1!,Buy,Limit,4,30300.75,,30300.25,Filled,2026-06-04 08:46:31,2026-06-04 08:48:44,
CME_MINI:MNQ1!,Buy,Market,10,,,30303.75,Filled,2026-06-04 08:45:53,2026-06-04 08:45:54,
CME_MINI:MNQ1!,Sell,Stop,10,,30288,,Cancelled,2026-06-04 08:45:53,2026-06-04 08:46:16,
CME_MINI:MNQ1!,Sell,Limit,10,30318,,30318,Filled,2026-06-04 08:45:53,2026-06-04 08:46:16,
CME_MINI:MNQ1!,Buy,Market,1,,,30307.5,Filled,2026-06-04 08:45:12,2026-06-04 08:45:12,
CME_MINI:MNQ1!,Sell,Market,1,,,30302.5,Filled,2026-06-04 08:45:05,2026-06-04 08:45:05,
CME_MINI:MNQ1!,Sell,Market,1,,,30301,Filled,2026-06-04 08:44:56,2026-06-04 08:44:57,
CME_MINI:MNQ1!,Sell,Market,1,,,30310.25,Filled,2026-06-04 08:44:45,2026-06-04 08:44:45,
CME_MINI:MNQ1!,Sell,Market,1,,,30314.5,Filled,2026-06-04 08:44:25,2026-06-04 08:44:25,
CME_MINI:MNQ1!,Buy,Market,10,,,30318.25,Filled,2026-06-04 08:44:11,2026-06-04 08:44:11,
CME_MINI:MNQ1!,Sell,Limit,7,30337.75,,,Cancelled,2026-06-04 08:44:11,2026-06-04 08:45:01,
CME_MINI:MNQ1!,Sell,Stop,7,,30298.5,30301.75,Filled,2026-06-04 08:44:11,2026-06-04 08:45:01,
CME_MINI:MNQ1!,Sell,Market,1,,,30554,Filled,2026-06-01 14:44:47,2026-06-01 14:44:47,
CME_MINI:MNQ1!,Buy,Market,1,,,30554,Filled,2026-06-01 14:44:38,2026-06-01 14:44:38,
CME_MINI:MNQ1!,Sell,Stop,1,,30546.5,,Cancelled,2026-06-01 14:44:38,2026-06-01 14:44:47,
CME_MINI:MNQ1!,Sell,Limit,1,30560.5,,,Cancelled,2026-06-01 14:44:38,2026-06-01 14:44:47,
CME_MINI:MNQ1!,Sell,Market,15,,,30365.25,Filled,2026-05-29 13:14:44,2026-05-29 13:14:44,
CME_MINI:MNQ1!,Buy,Market,15,,,30362.5,Filled,2026-05-29 13:10:18,2026-05-29 13:10:18,
CME_MINI:MNQ1!,Sell,Stop,15,,30349.25,,Cancelled,2026-05-29 13:10:18,2026-05-29 13:14:44,
CME_MINI:MNQ1!,Sell,Limit,15,30374,,,Cancelled,2026-05-29 13:10:18,2026-05-29 13:14:44,
CME_MINI:MNQ1!,Sell,Market,20,,,28613.75,Filled,2026-05-07 13:21:49,2026-05-07 13:21:49,
CME_MINI:MNQ1!,Buy,Stop,20,,28626.75,,Cancelled,2026-05-07 13:21:49,2026-05-07 13:24:16,
CME_MINI:MNQ1!,Buy,Limit,20,28600.75,,28600.25,Filled,2026-05-07 13:21:49,2026-05-07 13:24:16,
CME_MINI:MNQ1!,Sell,Market,1,,,24451.5,Filled,2026-03-23 12:21:01,2026-03-23 12:21:01,
CME_MINI:MNQ1!,Buy,Market,1,,,24450.5,Filled,2026-03-23 12:19:44,2026-03-23 12:19:44,
CME_MINI:MNQ1!,Sell,Stop,1,,24435.5,,Cancelled,2026-03-23 12:19:44,2026-03-23 12:21:01,
CME_MINI:MNQ1!,Sell,Limit,1,24465.5,,,Cancelled,2026-03-23 12:19:44,2026-03-23 12:21:01,
CME_MINI:MNQ1!,Buy,Market,1,,,24457.25,Filled,2026-03-23 12:15:29,2026-03-23 12:15:29,
CME_MINI:MNQ1!,Sell,Limit,1,24467.25,,,Cancelled,2026-03-23 12:15:29,2026-03-23 12:16:12,
CME_MINI:MNQ1!,Sell,Stop,1,,24447,24448.25,Filled,2026-03-23 12:15:29,2026-03-23 12:16:12,
CME_MINI:MNQ1!,Sell,Market,10,,,24718.25,Filled,2026-03-18 13:28:08,2026-03-18 13:28:08,
CME_MINI:MNQ1!,Buy,Limit,10,24708.75,,,Cancelled,2026-03-18 13:28:08,2026-03-18 13:28:44,
CME_MINI:MNQ1!,Buy,Stop,10,,24727.25,24728.25,Filled,2026-03-18 13:28:08,2026-03-18 13:28:44,
CME_MINI:MNQ1!,Sell,Market,10,,,24763.5,Filled,2026-03-18 13:16:13,2026-03-18 13:16:14,
CME_MINI:MNQ1!,Buy,Stop,10,,24770.5,,Cancelled,2026-03-18 13:16:13,2026-03-18 13:16:32,
CME_MINI:MNQ1!,Buy,Limit,10,24758.5,,24758.25,Filled,2026-03-18 13:16:13,2026-03-18 13:16:32,
CME_MINI:MNQ1!,Buy,Market,10,,,24777.75,Filled,2026-03-18 13:07:47,2026-03-18 13:07:47,
CME_MINI:MNQ1!,Sell,Stop,10,,24767.75,,Cancelled,2026-03-18 13:07:47,2026-03-18 13:08:22,
CME_MINI:MNQ1!,Sell,Limit,10,24787.75,,24787.75,Filled,2026-03-18 13:07:47,2026-03-18 13:08:22,
CME_MINI:MNQ1!,Buy,Market,4,,,24797,Filled,2026-02-19 13:15:17,2026-02-19 13:15:17,
CME_MINI:MNQ1!,Sell,Market,4,,,24798.5,Filled,2026-02-19 13:10:42,2026-02-19 13:10:42,
CME_MINI:MNQ1!,Buy,Stop,4,,24808.25,,Cancelled,2026-02-19 13:10:42,2026-02-19 13:15:17,
CME_MINI:MNQ1!,Buy,Limit,4,24788.5,,,Cancelled,2026-02-19 13:10:42,2026-02-19 13:15:17,
CME_MINI:MNQ1!,Sell,Market,4,,,24802.75,Filled,2026-02-19 13:08:11,2026-02-19 13:08:11,
CME_MINI:MNQ1!,Buy,Stop,4,,24813,,Cancelled,2026-02-19 13:08:11,2026-02-19 13:09:00,
CME_MINI:MNQ1!,Buy,Limit,4,24793,,24793,Filled,2026-02-19 13:08:11,2026-02-19 13:09:00,
CME_MINI:MNQ1!,Sell,Market,4,,,24748.5,Filled,2026-02-17 09:54:30,2026-02-17 09:54:30,
CME_MINI:MNQ1!,Buy,Limit,4,24730.5,,,Cancelled,2026-02-17 09:54:30,2026-02-17 09:55:29,
CME_MINI:MNQ1!,Buy,Stop,4,,24767,24766,Filled,2026-02-17 09:54:30,2026-02-17 09:55:29,
CME_MINI:MNQ1!,Buy,Market,4,,,24839.5,Filled,2026-02-12 16:28:44,2026-02-12 16:28:44,
CME_MINI:MNQ1!,Sell,Stop,4,,24833.75,,Cancelled,2026-02-12 16:28:44,2026-02-12 16:32:23,
CME_MINI:MNQ1!,Sell,Limit,4,24846,,24846,Filled,2026-02-12 16:28:44,2026-02-12 16:32:23,
CME_MINI:MNQ1!,Sell,Market,4,,,24829,Filled,2026-02-12 16:22:32,2026-02-12 16:22:32,
CME_MINI:MNQ1!,Buy,Limit,4,24820.25,,,Cancelled,2026-02-12 16:22:32,2026-02-12 16:25:50,
CME_MINI:MNQ1!,Buy,Stop,4,,24838,24838,Filled,2026-02-12 16:22:32,2026-02-12 16:25:50,
CME_MINI:MNQ1!,Buy,Market,4,,,25372.75,Filled,2026-02-09 11:14:31,2026-02-09 11:14:31,
CME_MINI:MNQ1!,Sell,Market,4,,,25373.5,Filled,2026-02-09 11:14:09,2026-02-09 11:14:09,
CME_MINI:MNQ1!,Buy,Stop,4,,25382.5,,Cancelled,2026-02-09 11:14:09,2026-02-09 11:14:31,
CME_MINI:MNQ1!,Buy,Limit,4,25362.5,,,Cancelled,2026-02-09 11:14:09,2026-02-09 11:14:31,
CME_MINI:MNQ1!,Sell,Market,4,,,25375,Filled,2026-02-09 10:53:40,2026-02-09 10:53:40,
CME_MINI:MNQ1!,Buy,Stop,4,,25381,,Cancelled,2026-02-09 10:53:40,2026-02-09 10:54:02,
CME_MINI:MNQ1!,Buy,Limit,4,25369,,25369,Filled,2026-02-09 10:53:40,2026-02-09 10:54:02,
CME_MINI:MNQ1!,Sell,Market,4,,,24851.25,Filled,2026-02-05 10:30:20,2026-02-05 10:30:20,
CME_MINI:MNQ1!,Buy,Stop,4,,24869.5,,Cancelled,2026-02-05 10:30:20,2026-02-05 10:31:56,
CME_MINI:MNQ1!,Buy,Limit,4,24829.5,,24827.75,Filled,2026-02-05 10:30:20,2026-02-05 10:31:56,
CME_MINI:MNQ1!,Sell,Market,4,,,24846.25,Filled,2026-02-05 10:30:09,2026-02-05 10:30:09,
CME_MINI:MNQ1!,Buy,Limit,4,24834.75,,,Cancelled,2026-02-05 10:30:09,2026-02-05 10:30:14,
CME_MINI:MNQ1!,Buy,Stop,4,,24854.75,24855.25,Filled,2026-02-05 10:30:09,2026-02-05 10:30:14,
CME_MINI:MNQ1!,Sell,Market,4,,,24746.75,Filled,2026-02-05 07:23:24,2026-02-05 07:23:25,
CME_MINI:MNQ1!,Buy,Limit,4,24733,,,Cancelled,2026-02-05 07:23:24,2026-02-05 07:24:02,
CME_MINI:MNQ1!,Buy,Stop,4,,24761,24759,Filled,2026-02-05 07:23:24,2026-02-05 07:24:02,
CME_MINI:MNQ1!,Sell,Market,4,,,25019,Filled,2026-02-04 14:22:07,2026-02-04 14:22:07,
CME_MINI:MNQ1!,Buy,Stop,4,,25036.25,,Cancelled,2026-02-04 14:22:07,2026-02-04 14:23:55,
CME_MINI:MNQ1!,Buy,Limit,4,25003,,25002.25,Filled,2026-02-04 14:22:07,2026-02-04 14:23:55,
CME_MINI:MNQ1!,Sell,Market,4,,,25015.75,Filled,2026-02-04 14:22:02,2026-02-04 14:22:02,
CME_MINI:MNQ1!,Buy,Limit,4,25000.25,,,Cancelled,2026-02-04 14:22:02,2026-02-04 14:22:03,
CME_MINI:MNQ1!,Buy,Stop,4,,25020.25,25024.5,Filled,2026-02-04 14:22:02,2026-02-04 14:22:03,
CME_MINI:MNQ1!,Sell,Stop,8,,25878,,Cancelled,2026-02-02 14:31:24,2026-02-02 14:33:44,
CME_MINI:MNQ1!,Sell,Limit,8,25890.75,,25891.25,Filled,2026-02-02 14:31:22,2026-02-02 14:33:44,
CME_MINI:MNQ1!,Buy,Market,8,,,25884.5,Filled,2026-02-02 14:31:18,2026-02-02 14:31:18,